Programme,Lab 1
BSCEGU4,0.0
BSCEGU4,7.0
BSCSIU4,6.0
BSCSIU4,0.0
BSCEGU4,7.0
BSCSIU4,5.0
BSCEGU4,6.0
BSCEGU4,7.0
BSCEGU4,7.0
BSCEGU4,0.0
BDEGEE,4.5
BSCSIU4,6.0
BSCEGU4,6.5
BSCEGU4,5.0
BENGEGU4,5.0
BSCEGU4,4.0
BDEGEE,0.0
BSCEGU4,7.0
BSCSIU4,7.0
BSCEGU4,0.0
BSCEGU4,0.0
BSCSIU4,5.0
BSCEGU4,6.5
BSCEGU4,0.0
BDEGEE,4.0
BSCSIU4,5.0
BSCSIU4,4.0
BSCSIU4,4.0
BDEGEE,4.0
BSCEGU4,0.0
BSCSIU4,4.5
BDEGEE,1.5
BENGEGU4,4.0
BSCEGU4,0.0
BSCEGU4,0.0
BSCEGU4,6.0
BSCEGU4,0.0
BDEGEE,6.0
BDEGEE,3.0
BSCEGU4,6.0
BAU4,0.0
BDEGEE,4.5
BSCEGU4,6.5
BSCEGU4,5.5
BSCEGU4,4.0
BSCEGU4,4.5
BSCSIU4,5.5
BSCEGU4,6.0
BSCEGU4,6.0
BSCEGU4,6.0
BSCEGU4,3.5
BDEGEE,3.0
BDEGEE,5.0
BSCEGU4,5.0
BSCEGU4,6.0
BDEGEE,5.5
BSCEGU4,6.5
BDEGEE,5.0
BENGEGU4,7.0
BSCEGU4,0.0
BSCEGU4,7.0
BSCSIU4,0.0
BDEGEE,6.5
BSCEGU4,1.5
BSCEGU4,5.5
BSCSIU4,6.5
BSCEGU4,6.5
BDEGEE,5.0
BSCSIU4,5.5
BSCSIU4,3.0
BSCEGU4,3.0
BSCEGU4,6.5
BSCSIU4,0.0
BDEGEE,6.0
BSCSIU4,2.5
BENGEGU4,3.5
DBSCBSC,7.0
BDEGEE,3.5
BSCSIU4,6.0
BSCSIU3,0.0
BDEGEE,6.0
BSCSIU4,6.5
BSCEGU4,6.0
BSCEGU4,4.5
BDEGEE,2.5
BSCSIU4,6.0
BSCEGU4,6.0
BSCSIU4,6.0
BSCEGU4,6.0
BSCSIU4,5.5
BSCEGU4,7.0
BSCEGU4,1.0
DBSCBSC,0.0
BDEGEE,7.0
BSCSIU4,5.0
BDEGEE,0.0
BDEGEE,3.0
BSCEGU4,3.5
BSCEGU4,7.0
BSCEGU4,5.0
BDEGEE,5.0
BSCSIU4,4.0
BDEGEE,5.0
BSCEGU4,6.5
BSCEGU4,5.0
BSCSIU4,6.0
BSCSIU4,6.0
BSCEGU4,6.0
BSCEGU4,6.0
BDEGEE,3.0
BENGEGU4,0.0
BSCEGU4,0.0
BSCSIU4,6.0
BSCSIU4,6.5
BDEGEE,6.0
BDEGEE,3.0
BDEGEE,0.0
BSCSIU4,6.0
BSCEGU4,6.5
BDEGEE,2.0
BSCSIU4,5.5
BSCEGU4,5.5
BDEGEE,6.0
BSCSIU4,6.0
BDEGEE,6.0
BSCEGU4,5.0
BSCSIU4,3.0
BDEGEE,7.0
BSCSIU4,5.5
BDSI,5.5
BSCSIU4,3.0
BDEGEE,6.0
BENGSEEU4,7.0
BSCSIU4,5.5
BSCSIU4,6.5
BSCEGU4,1.0
BSCSIU4,3.5
BSCSIU4,5.5
BSCSIU4,5.5
BSCEGU4,0.0
BDEGEE,3.0
BENGEGU4,4.0
BSCSIU4,0.0
BDEGEE,1.0
BDEGEE,6.0
BSCEGU4,3.0
BENGEGU4,6.0
BSCEGU4,3.0
BDEGEE,5.0
BDEGEE,3.0
BENGEGU4,6.0
BSCSIU4,4.5
BDEGEE,5.5
BSCEGU4,5.5
BSCEGU4,4.5
BSCEGU4,5.5
BDEGEE,6.0
BSCSIU4,6.0
DBSCBSC,0.0
DBSCBSC,2.0
BSCSIU4,0.0
BSCEGU4,4.5
BSCSIU4,4.5
BSCSIU4,7.0
BDEGEE,0.0
BSCSIU3,6.0
BSCEGU4,6.5
BSCEGU4,0.0
BSCEGU4,5.0
BDEGEE,0.0
BSCSIU4,4.0
BSCEGU4,3.0
BSCSIU4,5.5
BDEGEE,3.5
BDEGEE,2.0
BDEGEE,6.0
BDEGEE,5.5
DBSCBSC,5.5
BDEGEE,5.5
BSCEGU4,0.0
BSCEGU4,5.0
BSCEGU4,6.5
BSCEGU4,7.0
BDEGEE,4.5
BDEGEE,6.5
BSCSIU4,3.5
BSCEGU4,7.0
DBSCBSC,5.5
BSCSIU4,6.5
BENGEGU4,4.0
BDEGEE,4.0
BSCEGU4,4.0
BDEGEE,4.0
BENGEGU4,0.0
BSCSIU4,0.0
DBSCBSC,4.0
BDEGEE,6.0
BDEGEE,4.5
BDEGEE,3.0
BSCSIU4,3.0
BDEGEE,4.0
BSCEGU4,5.5
BENGEGU4,6.0
BDEGEE,4.0
BSCSIU4,5.5
BSCSIU4,5.0
BSCSIU4,4.0
BSCSIU4,5.5
BDEGEE,3.0
BSCEGU4,5.0
BDEGEE,4.5
BSCSIU4,6.5
BSCSIU4,6.0
BDEGEE,6.0
BSCSIU4,3.0
BDSI,5.0
BDEGEE,3.0
BSCEGU4,5.5
BDEGEE,2.5
BSCEGU4,0.0
BENGEGU4,4.0
BSCEGU4,5.0
BSCEGU4,6.0
BDEGEE,5.0
BSCDSU4,6.0
BDEGEE,3.5
EXFB,5.0
BDEGEE,5.5
BSCEGU4,2.0
BDEGEE,5.0
BENGEGU4,0.0
BDEGEE,0.0
BSCEGU4,0.0
BSCSIU4,7.0
BSCEGU4,5.0
BSCSIU4,7.0
BSCSIU4,6.5
BDEGEE,6.5
BDEGEE,6.0
BSCEGU4,7.0
BDEGEE,5.0
BDEGEE,3.0
EXGB,5.0
BSCSIU4,5.0
BDEGEE,2.5
