Programme,Lab 1
BSCSIU4,6.0
BSCSIU4,0.0
BSCSIU4,5.0
BSCSIU4,6.0
BSCSIU4,7.0
BSCSIU4,5.0
BSCSIU4,5.0
BSCSIU4,4.0
BSCSIU4,4.0
BSCSIU4,4.5
BSCSIU4,5.5
BSCSIU4,0.0
BSCSIU4,6.5
BSCSIU4,5.5
BSCSIU4,3.0
BSCSIU4,0.0
BSCSIU4,2.5
BSCSIU4,6.0
BSCSIU4,6.5
BSCSIU4,6.0
BSCSIU4,6.0
BSCSIU4,5.5
BSCSIU4,5.0
BSCSIU4,4.0
BSCSIU4,6.0
BSCSIU4,6.0
BSCSIU4,6.0
BSCSIU4,6.5
BSCSIU4,6.0
BSCSIU4,5.5
BSCSIU4,6.0
BSCSIU4,3.0
BSCSIU4,5.5
BSCSIU4,3.0
BSCSIU4,5.5
BSCSIU4,6.5
BSCSIU4,3.5
BSCSIU4,5.5
BSCSIU4,5.5
BSCSIU4,0.0
BSCSIU4,4.5
BSCSIU4,6.0
BSCSIU4,0.0
BSCSIU4,4.5
BSCSIU4,7.0
BSCSIU4,4.0
BSCSIU4,5.5
BSCSIU4,3.5
BSCSIU4,6.5
BSCSIU4,0.0
BSCSIU4,3.0
BSCSIU4,5.5
BSCSIU4,5.0
BSCSIU4,4.0
BSCSIU4,5.5
BSCSIU4,6.5
BSCSIU4,6.0
BSCSIU4,3.0
BSCSIU4,7.0
BSCSIU4,7.0
BSCSIU4,6.5
BSCSIU4,5.0
BSCSIU4,5.0
BSCSIU4,0.0
BSCSIU4,4.5
BSCSIU4,0.0
BSCSIU4,6.0
BSCSIU4,5.0
BSCSIU4,6.0
BSCSIU4,7.0
BSCSIU4,5.0
BSCSIU4,5.0
BSCSIU4,6.0
BSCSIU4,0.0
BSCSIU4,7.0
BSCSIU4,5.5
BSCSIU4,7.0
BSCSIU4,4.0
BSCSIU4,5.0
BSCSIU4,5.0
BSCSIU4,6.5
BSCSIU4,7.0
BSCSIU4,3.5
BSCSIU4,0.0
BSCSIU4,6.0
BSCSIU4,0.0
BSCSIU4,6.0
BSCSIU4,4.0
BSCSIU4,3.0
BSCSIU4,2.5
BSCSIU4,6.0
